entry_year,status,course_name,normalized_course_name,baseline_grade,baseline_semester,baseline_course_code,baseline_completion_type,baseline_credits,flowchart_grade,flowchart_semester,flowchart_course_name,reason
2023,MATCH,의약분자생물학,의약분자생물학,2,2,ADB017,전선,2,2,2,의약분자생물학,same_name_same_position
2023,MATCH,의약품분석학2,의약품분석학2,2,2,ADB020,전필,2,2,2,의약품분석학2,same_name_same_position
2023,MATCH,보건사회약학,보건사회약학,3,1,ADB029,전필,3,3,1,보건사회약학,same_name_same_position
2023,MATCH,생약학1,생약학1,3,1,ADB026,전필,2,3,1,생약학1,same_name_same_position
2023,MATCH,약물학1,약물학1,3,1,ADB024,전필,3,3,1,약물학1,same_name_same_position
2023,MATCH,약품미생물학,약품미생물학,3,1,ADB025,전필,3,3,1,약품미생물학,same_name_same_position
2023,MATCH,약학실험3,약학실험3,3,1,ADB031,전필,2,3,1,약학실험3,same_name_same_position
2023,MATCH,의약품기기분석학1,의약품기기분석학1,3,1,ADB030,전필,2,3,1,의약품기기분석학1,same_name_same_position
2023,MATCH,의약품합성학1,의약품합성학1,3,1,ADB028,전필,2,3,1,의약품합성학1,same_name_same_position
2023,MATCH,제제과학1,제제과학1,3,1,ADB027,전필,3,3,1,제제과학1,same_name_same_position
2023,MATCH,감염성미생물학,감염성미생물학,3,2,ADB034,전필,2,3,2,감염성미생물학,same_name_same_position
2023,MATCH,생약학2,생약학2,3,2,ADB036,전필,2,3,2,생약학2,same_name_same_position
2023,MATCH,약물학2,약물학2,3,2,ADB033,전필,3,3,2,약물학2,same_name_same_position
2023,MATCH,약사 커뮤니케이션,약사커뮤니케이션,3,2,ADB039,전선,2,3,2,약사커뮤니케이션,same_name_same_position
2023,MATCH,약학실험4,약학실험4,3,2,ADB041,전필,2,3,2,약학실험4,same_name_same_position
2023,MATCH,의약품기기분석학2,의약품기기분석학2,3,2,ADB040,전필,2,3,2,의약품기기분석학2,same_name_same_position
2023,MATCH,의약품합성학2,의약품합성학2,3,2,ADB038,전필,2,3,2,의약품합성학2,same_name_same_position
2023,MATCH,임상면역학,임상면역학,3,2,ADB035,전선,1,3,2,임상면역학,same_name_same_position
2023,MATCH,제제과학2,제제과학2,3,2,ADB037,전필,3,3,2,제제과학2,same_name_same_position
2023,MATCH,AI 의료약학빅데이터,AI의료약학빅데이터,4,1,ADB053,전선,2,4,1,AI 의료약학빅데이터,same_name_same_position
2023,MATCH,감염질환을 위한 항생물질학,감염질환을위한항생물질학,4,1,ADB045,전필,2,4,1,감염질환을 위한 항생물질학,same_name_same_position
2023,MATCH,건강기능식품학,건강기능식품학,4,1,ADA182,전선,2,4,1,건강기능식품학,same_name_same_position
2023,MATCH,나노약학,나노약학,4,1,ADB054,전선,2,4,1,나노약학,same_name_same_position
2023,MATCH,무기방사성 의약품학,무기방사성의약품학,4,1,ADB052,전선,2,4,1,무기방사성 의약품학,same_name_same_position
2023,MATCH,약용식물학,약용식물학,4,1,ADB049,전선,2,4,1,약용식물학,same_name_same_position
2023,MATCH,예방약학1,예방약학1,4,1,ADB044,전필,3,4,1,예방약학1,same_name_same_position
2023,MATCH,의약화학1,의약화학1,4,1,ADB047,전선,2,4,1,의약화학1,same_name_same_position
2023,MATCH,임상미생물학,임상미생물학,4,1,ADB046,전선,2,4,1,임상미생물학,same_name_same_position
2023,MATCH,제제과학 실험,제제과학실험,4,1,ADB051,전필,2,4,1,제제과학 실험,same_name_same_position
2023,MATCH,천연물의약품학,천연물의약품학,4,1,ADB048,전선,2,4,1,천연물의약품학,same_name_same_position
2023,MATCH,감염성 질환 약물치료학,감염성질환약물치료학,4,2,ADB069,전필,2,4,2,감염성 질환 약물치료학,same_name_same_position
2023,MATCH,바이오의약품 분석,바이오의약품분석,4,2,ADB060,전선,2,4,2,바이오의약품 분석,same_name_same_position
2023,MATCH,바이오의약품학,바이오의약품학,4,2,ADB056,전선,2,4,2,바이오의약품학,same_name_same_position
2023,MATCH,법과학,법과학,4,2,ADB061,전선,2,4,2,법과학,same_name_same_position
2023,MATCH,보건의약관계법규,보건의약관계법규,4,2,ADB064,전필,2,4,2,보건의약관계법규,same_name_same_position
2023,MATCH,생물약제학,생물약제학,4,2,ADB057,전선,2,4,2,생물약제학,same_name_same_position
2023,MATCH,약물동태학,약물동태학,4,2,ADB058,전선,3,4,2,약물동태학,same_name_same_position
2023,MATCH,약사윤리,약사윤리,4,2,ADB065,전선,1,4,2,약사윤리,same_name_same_position
2023,MATCH,예방약학2,예방약학2,4,2,ADB055,전필,2,4,2,예방약학2,same_name_same_position
2023,MATCH,의약품설계학,의약품설계학,4,2,ADB066,전선,3,4,2,의약품설계학,same_name_same_position
2023,MATCH,의약화학2,의약화학2,4,2,ADB059,전선,2,4,2,의약화학2,same_name_same_position
2023,MATCH,호흡기계 및 소화기계 질환 약물치료학,호흡기계및소화기계질환약물치료학,4,2,ADB071,전선,2,4,2,호흡기계 및 소화기계질환 약물치료학,same_name_same_position
2023,MATCH,독성학,독성학,5,1,ADB068,전선,2,5,1,독성학,same_name_same_position
2023,MATCH,신경정신계 및 신장 질환 약물치료학,신경정신계및신장질환약물치료학,5,1,ADB062,전필,3,5,1,신경정신계 및 신장질환 약물치료학,same_name_same_position
2023,MATCH,약물신호전달학,약물신호전달학,5,1,ADB079,전선,2,5,1,약물신호전달학,same_name_same_position
