academic_year,grade,semester,course_name,course_code,completion_type,credits,group_size,partner_codes,previous_year,previous_generation,next_year,next_generation,previous_direct_four_year,previous_direct_six_year,next_direct_four_year,next_direct_six_year,row_lineage_candidate,pair_status,lineage_reason
2024,6,1,의료기관약국 필수실무실습4,ADB096,전필,2,2,ADA216,,,,,no,no,no,no,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence
2024,6,1,제약산업 필수실무실습,ADB097,전필,2,2,ADA218,,,,,no,no,no,no,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence
2024,6,1,제약산업 필수실무실습,ADA218,전필,2,2,ADB097,,,2025,six_year,no,no,no,yes,six_year,one_sided_candidate,adjacent_year_same_code_has_six_year_direct_evidence
2024,6,1,지역약국 필수실무실습 1,ADA219,전필,2,2,ADB092,,,2025,six_year,no,no,no,yes,six_year,one_sided_candidate,adjacent_year_same_code_has_six_year_direct_evidence
2024,6,1,지역약국 필수실무실습1,ADB092,전필,2,2,ADA219,,,,,no,no,no,no,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence
2024,6,2,심화실습 1,ADA226,전필,5,2,ADB099,,,2025,six_year,no,no,no,yes,six_year,one_sided_candidate,adjacent_year_same_code_has_six_year_direct_evidence
2024,6,2,심화실습 1,ADB099,전필,5,2,ADA226,,,,,no,no,no,no,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence
2024,6,2,심화실습 2,ADB100,전필,5,2,ADA227,,,,,no,no,no,no,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence
2024,6,2,심화실습 2,ADA227,전필,5,2,ADB100,,,2025,six_year,no,no,no,yes,six_year,one_sided_candidate,adjacent_year_same_code_has_six_year_direct_evidence
2024,6,2,지역약국 필수실무실습 2,ADA220,전필,3,2,ADB098,,,2025,six_year,no,no,no,yes,six_year,one_sided_candidate,adjacent_year_same_code_has_six_year_direct_evidence
2024,6,2,지역약국 필수실무실습2,ADB098,전필,3,2,ADA220,,,,,no,no,no,no,unresolved,one_sided_candidate,no_adjacent_year_direct_generation_evidence
