academic_year,grade,semester,course_name,course_code,completion_type,credits,original_decision_status,original_generation,scenario_a_generation,scenario_a_reason,scenario_b_generation,scenario_b_reason,manual_override,manual_override_reason,final_action,final_generation,final_reason,baseline_included
2024,3,1,약품분석화학 1,ADA031,전필,2,probable,four_year,four_year,original_probable,four_year,original_probable,,,exclude,four_year,original_probable,no
2024,3,1,약품생화학 1,ADA042,전필,3,probable,four_year,four_year,original_probable,four_year,original_probable,,,exclude,four_year,original_probable,no
2024,3,1,약학실험 1,ADA201,전필,2,probable,four_year,four_year,original_probable,four_year,original_probable,,,exclude,four_year,original_probable,no
2024,3,1,의약품합성학1,ADB028,전필,2,probable,six_year,six_year,original_probable,six_year,original_probable,exclude_from_cohort,manual_curriculum_change:pharmaceutical_synthesis_1_2_replaced_by_ADA198,exclude,,manual_curriculum_change:pharmaceutical_synthesis_1_2_replaced_by_ADA198,no
2024,3,1,무기 및 방사성 의약품학,ADA199,전선,2,probable,four_year,four_year,original_probable,four_year,original_probable,,,exclude,four_year,original_probable,no
2024,3,1,약사윤리와 진로 적응,ADA212,전선,1,probable,four_year,four_year,original_probable,four_year,original_probable,,,exclude,four_year,original_probable,no
2024,3,1,약용식물학,ADA203,전선,2,unresolved,,,,,,,,exclude,,scenario_b_unassigned,no
2024,3,1,약학통계,ADA051,전선,2,probable,four_year,four_year,original_probable,four_year,original_probable,,,exclude,four_year,original_probable,no
2024,3,1,약화학,ADA080,전선,3,probable,four_year,four_year,original_probable,four_year,original_probable,,,exclude,four_year,original_probable,no
2024,3,1,해부생리학,ADA022,전선,3,probable,four_year,four_year,original_probable,four_year,original_probable,,,exclude,four_year,original_probable,no
2024,3,2,물리약학 2,ADA041,전필,2,probable,four_year,four_year,original_probable,four_year,original_probable,,,exclude,four_year,original_probable,no
2024,3,2,약품분석화학 2,ADA074,전필,1,probable,four_year,four_year,original_probable,four_year,original_probable,,,exclude,four_year,original_probable,no
