academic_year,semester,course_code,course_name,completion_type,credits,recommended_year,department
2025,2,ADB055,"예방약학2","전필",2.0,4,"약학과"
2026,2,ADB055,"예방약학2","전필",2.0,4,"약학과"
2025,2,ADB113,"유용천연물소재학","전선",3.0,3,"약학과"
2026,2,ADB113,"유용천연물소재학","전선",3.0,5,"약학과"
2022,1,ADA217,"의료기관약국 예비실무실습","전필",2.0,5,"약학과"
2023,1,ADA217,"의료기관약국 예비실무실습","전필",2.0,5,"약학과"
2024,1,ADA217,"의료기관약국 예비실무실습","전필",2.0,5,"약학과"
2025,1,ADA217,"의료기관약국 예비실무실습","전필",2.0,5,"약학과"
2026,1,ADA217,"의료기관약국 예비실무실습","전필",2.0,5,"약학과"
2022,1,ADA213,"의료기관약국 필수실무실습 1","전필",3.0,6,"약학과"
2023,1,ADA213,"의료기관약국 필수실무실습 1","전필",3.0,6,"약학과"
2024,1,ADA213,"의료기관약국 필수실무실습 1","전필",3.0,6,"약학과"
2025,1,ADA213,"의료기관약국 필수실무실습 1","전필",3.0,6,"약학과"
2026,1,ADA213,"의료기관약국 필수실무실습 1","전필",3.0,6,"약학과"
2022,1,ADA214,"의료기관약국 필수실무실습 2","전필",2.0,6,"약학과"
2023,1,ADA214,"의료기관약국 필수실무실습 2","전필",2.0,6,"약학과"
2024,1,ADA214,"의료기관약국 필수실무실습 2","전필",2.0,6,"약학과"
2025,1,ADA214,"의료기관약국 필수실무실습 2","전필",2.0,6,"약학과"
2026,1,ADA214,"의료기관약국 필수실무실습 2","전필",2.0,6,"약학과"
2022,1,ADA215,"의료기관약국 필수실무실습 3","전필",3.0,6,"약학과"
2023,1,ADA215,"의료기관약국 필수실무실습 3","전필",3.0,6,"약학과"
2024,1,ADA215,"의료기관약국 필수실무실습 3","전필",3.0,6,"약학과"
2025,1,ADA215,"의료기관약국 필수실무실습 3","전필",3.0,6,"약학과"
2026,1,ADA215,"의료기관약국 필수실무실습 3","전필",3.0,6,"약학과"
2022,1,ADA216,"의료기관약국 필수실무실습 4","전필",2.0,6,"약학과"
2023,1,ADA216,"의료기관약국 필수실무실습 4","전필",2.0,6,"약학과"
2024,1,ADA216,"의료기관약국 필수실무실습 4","전필",2.0,6,"약학과"
2025,1,ADA216,"의료기관약국 필수실무실습 4","전필",2.0,6,"약학과"
2026,1,ADA216,"의료기관약국 필수실무실습 4","전필",2.0,6,"약학과"
2022,2,ADA181,"의약분자생물학","전필",2.0,3,"약학과"
2023,2,ADB017,"의약분자생물학","전선",2.0,2,"약학과"
2024,2,ADB017,"의약분자생물학","전선",2.0,2,"약학과"
2025,2,ADB017,"의약분자생물학","전선",2.0,2,"약학과"
2026,2,ADB017,"의약분자생물학","전선",2.0,2,"약학과"
2026,1,ADB073,"의약정보학과 경제성평가","전필",2.0,5,"약학과"
2022,2,ADA204,"의약정보학과 커뮤니케이션","전선",2.0,4,"약학과"
2023,2,ADA204,"의약정보학과 커뮤니케이션","전선",2.0,4,"약학과"
2024,2,ADA204,"의약정보학과 커뮤니케이션","전선",2.0,4,"약학과"
2022,1,ADA206,"의약품 경제성평가","전필",2.0,5,"약학과"
2023,1,ADA206,"의약품 경제성평가","전필",2.0,5,"약학과"
2024,1,ADA206,"의약품 경제성평가","전필",2.0,5,"약학과"
2025,1,ADA206,"의약품 경제성평가","전필",2.0,5,"약학과"
2024,2,ADB105,"의약품개발사","전선",2.0,2,"약학과"
2025,2,ADB105,"의약품개발사","전선",2.0,2,"약학과"
2026,2,ADB105,"의약품개발사","전선",2.0,2,"약학과"
2024,1,ADB030,"의약품기기분석학1","전필",2.0,3,"약학과"
2025,1,ADB030,"의약품기기분석학1","전필",2.0,3,"약학과"
2026,1,ADB030,"의약품기기분석학1","전필",2.0,3,"약학과"
2024,2,ADB040,"의약품기기분석학2","전필",2.0,3,"약학과"
2025,2,ADB040,"의약품기기분석학2","전필",2.0,3,"약학과"
2026,2,ADB040,"의약품기기분석학2","전필",2.0,3,"약학과"
2023,1,ADB011,"의약품분석학1","전필",2.0,2,"약학과"
2024,1,ADB011,"의약품분석학1","전필",2.0,2,"약학과"
2025,1,ADB011,"의약품분석학1","전필",2.0,2,"약학과"
2026,1,ADB011,"의약품분석학1","전필",2.0,2,"약학과"
2023,2,ADB020,"의약품분석학2","전필",2.0,2,"약학과"
2024,2,ADB020,"의약품분석학2","전필",2.0,2,"약학과"
2025,2,ADB020,"의약품분석학2","전필",2.0,2,"약학과"
2026,2,ADB020,"의약품분석학2","전필",2.0,2,"약학과"
2022,2,ADA197,"의약품설계학","전선",2.0,3,"약학과"
2025,1,ADB066,"의약품설계학","전선",2.0,4,"약학과"
2022,1,ADA171,"의약품제조관리학","전선",3.0,5,"약학과"
2023,1,ADA171,"의약품제조관리학","전선",3.0,5,"약학과"
2024,1,ADA171,"의약품제조관리학","전선",3.0,5,"약학과"
2025,1,ADA171,"의약품제조관리학","전선",3.0,5,"약학과"
2026,1,ADA171,"의약품제조관리학","전선",3.0,5,"약학과"
2022,2,ADA198,"의약품합성학","전필",3.0,3,"약학과"
2024,2,ADA198,"의약품합성학","전필",2.0,3,"약학과"
2025,2,ADA198,"의약품합성학","전필",2.0,3,"약학과"
2026,2,ADA198,"의약품합성학","전필",3.0,3,"약학과"
2022,1,ADA102,"의약화학 1","전필",2.0,4,"약학과"
2023,1,ADA102,"의약화학 1","전필",2.0,4,"약학과"
2024,1,ADA102,"의약화학 1","전필",2.0,4,"약학과"
2022,2,ADA103,"의약화학 2","전필",2.0,4,"약학과"
2023,2,ADA103,"의약화학 2","전필",2.0,4,"약학과"
2024,2,ADA103,"의약화학 2","전필",2.0,4,"약학과"
2025,1,ADB047,"의약화학1","전필",2.0,4,"약학과"
2026,1,ADB047,"의약화학1","전필",2.0,4,"약학과"
2025,2,ADB059,"의약화학2","전선",2.0,4,"약학과"
2026,2,ADB059,"의약화학2","전선",2.0,4,"약학과"
2024,1,ADB084,"일반의약품학","전선",3.0,5,"약학과"
2025,1,ADB084,"일반의약품학","전선",3.0,5,"약학과"
2026,1,ADB084,"일반의약품학","전선",3.0,4,"약학과"
2022,2,ADA190,"임상면역학","전필",3.0,5,"약학과"
2023,2,ADA190,"임상면역학","전필",3.0,5,"약학과"
2024,2,ADA190,"임상면역학","전필",3.0,5,"약학과"
2025,2,ADA190,"임상면역학","전필",3.0,5,"약학과"
2025,2,ADB035,"임상면역학","전선",2.0,3,"약학과"
2026,2,ADB035,"임상면역학","전선",2.0,3,"약학과"
2025,1,ADB046,"임상미생물학","전선",3.0,4,"약학과"
2026,1,ADB046,"임상미생물학","전선",3.0,4,"약학과"
2022,2,ADA183,"임상생화학","전선",1.0,4,"약학과"
2023,2,ADA183,"임상생화학","전선",1.0,4,"약학과"
2024,2,ADA183,"임상생화학","전선",1.0,4,"약학과"
2026,1,ADA183,"임상생화학","전선",2.0,5,"약학과"
2022,1,ADA150,"임상약물동태학","전선",2.0,5,"약학과"
2023,1,ADA150,"임상약물동태학","전선",2.0,5,"약학과"
2024,1,ADA150,"임상약물동태학","전선",2.0,5,"약학과"
2026,1,ADA150,"임상약물동태학","전선",2.0,5,"약학과"
2022,2,ADA137,"임상약학 해설","전선",1.0,4,"약학과"
2023,2,ADA137,"임상약학 해설","전선",1.0,4,"약학과"
2024,2,ADA137,"임상약학 해설","전선",1.0,4,"약학과"
2025,2,ADB083,"임상약학 해설","전필",1.0,4,"약학과"
2026,2,ADB083,"임상약학 해설","전필",1.0,4,"약학과"
2023,2,ADA233,"임상영양학","전선",2.0,5,"약학과"
2024,2,ADA233,"임상영양학","전선",2.0,4,"약학과"
2025,1,ADA233,"임상영양학","전선",2.0,4,"약학과"
2026,1,ADA233,"임상영양학","전선",2.0,4,"약학과"
2023,2,ADA232,"임상의약정보학","전선",2.0,4,"약학과"
2024,1,ADA228,"자원생약학","전선",2.0,3,"약학과"
2025,1,ADB109,"정신신경계질환 약물치료학","전필",2.0,4,"약학과"
2026,1,ADB109,"정신신경계질환 약물치료학","전필",2.0,4,"약학과"
2022,1,ADA218,"제약산업 필수실무실습","전필",2.0,6,"약학과"
2023,1,ADA218,"제약산업 필수실무실습","전필",2.0,6,"약학과"
2024,1,ADA218,"제약산업 필수실무실습","전필",2.0,6,"약학과"
2025,1,ADA218,"제약산업 필수실무실습","전필",2.0,6,"약학과"
2026,1,ADA218,"제약산업 필수실무실습","전필",2.0,6,"약학과"
2022,1,ADA186,"제제과학 1","전필",3.0,4,"약학과"
2023,1,ADA186,"제제과학 1","전필",3.0,4,"약학과"
2022,2,ADA187,"제제과학 2","전필",3.0,4,"약학과"
2023,2,ADA187,"제제과학 2","전필",3.0,4,"약학과"
2026,1,ADB051,"제제과학 실험","전필",2.0,4,"약학과"
2024,1,ADB027,"제제과학1","전필",3.0,3,"약학과"
2025,1,ADB027,"제제과학1","전필",3.0,3,"약학과"
2026,1,ADB027,"제제과학1","전필",3.0,3,"약학과"
2024,2,ADB037,"제제과학2","전필",3.0,3,"약학과"
2025,2,ADB037,"제제과학2","전필",3.0,3,"약학과"
2026,2,ADB037,"제제과학2","전필",3.0,3,"약학과"
2022,1,ADA200,"제제과학실습","전필",2.0,5,"약학과"
2023,1,ADA200,"제제과학실습","전필",2.0,5,"약학과"
2024,1,ADA200,"제제과학실습","전필",2.0,5,"약학과"
2025,1,ADA200,"제제과학실습","전필",2.0,5,"약학과"
2025,1,ADB111,"제제과학의실습","전필",2.0,4,"약학과"
2023,2,ADA053,"조제학","전선",2.0,5,"약학과"
2022,1,ADA115,"지역약국 예비실무실습","전필",2.0,5,"약학과"
2023,1,ADA115,"지역약국 예비실무실습","전필",2.0,5,"약학과"
2024,1,ADA115,"지역약국 예비실무실습","전필",2.0,5,"약학과"
